iso3,unidad,desde_meses,hasta_meses,operador_frontera,dias,tipo_de_dia,literal_normativo
COL,Bogotá,12,,tras_completar,15.0,habil,Los trabajadores que hubieren prestado sus servicios durante un ano tienen derecho a quince (15) dias habiles consecutivos de vacaciones remuneradas
CRI,San José,0,12,tras_completar,0.0,semanas,"dos semanas por cada cincuenta semanas de labor continua, al servicio de un mismo patrono"
CRI,San José,12,,tras_completar,2.0,semanas,"dos semanas por cada cincuenta semanas de labor continua, al servicio de un mismo patrono"
CZE,Praga,0,12,tras_completar,0.0,semanas,"Vymera dovolene cini nejmene 4 tydny v kalendarnim roce (§ 213 odst. 1); pripadne-li v dobe dovolene svatek na den, ktery je jinak jeho obvyklym pracovnim dnem, nezapocitava se do dovolene (§ 219 odst"
CZE,Praga,12,,tras_completar,4.0,semanas,"Vymera dovolene cini nejmene 4 tydny v kalendarnim roce (§ 213 odst. 1); pripadne-li v dobe dovolene svatek na den, ktery je jinak jeho obvyklym pracovnim dnem, nezapocitava se do dovolene (§ 219 odst"
DEU,Berlín,0,12,tras_completar,0.0,werktage,Der Urlaub betraegt jaehrlich mindestens 24 Werktage
DEU,Berlín,12,,tras_completar,24.0,werktage,Der Urlaub betraegt jaehrlich mindestens 24 Werktage
DNK,Copenhague,0,1,tras_completar,0.0,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,1,2,tras_completar,2.08,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,2,3,tras_completar,4.16,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,3,4,tras_completar,6.24,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,4,5,tras_completar,8.32,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,5,6,tras_completar,10.4,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,6,7,tras_completar,12.48,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,7,8,tras_completar,14.56,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,8,9,tras_completar,16.64,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,9,10,tras_completar,18.72,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,10,11,tras_completar,20.8,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,11,12,tras_completar,22.88,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DNK,Copenhague,12,,tras_completar,25.0,habil,En lonmodtager optjener i feriearet ret til 5 ugers betalt ferie; ferie holdes med 5 dage om ugen
DOM,Santo Domingo,0,12,tras_completar,0.0,habil,"un periodo de vacaciones de catorce (14) dias laborables, con disfrute de salario (art. 177)"
DOM,Santo Domingo,12,,tras_completar,14.0,habil,"un periodo de vacaciones de catorce (14) dias laborables, con disfrute de salario (art. 177)"
ECU,Guayaquil,0,12,tras_completar,0.0,calendario,"Todo trabajador tendra derecho a gozar anualmente de un periodo ininterrumpido de quince dias de descanso, incluidos los dias no laborables"
ECU,Guayaquil,12,,tras_completar,15.0,calendario,"Todo trabajador tendra derecho a gozar anualmente de un periodo ininterrumpido de quince dias de descanso, incluidos los dias no laborables"
ESP,Madrid,0,12,tras_completar,0.0,calendario,En ningun caso la duracion sera inferior a treinta dias naturales
ESP,Madrid,12,,tras_completar,30.0,calendario,En ningun caso la duracion sera inferior a treinta dias naturales
FIN,Helsinki,0,12,tras_completar,0.0,werktage,Tyontekijalla on oikeus saada lomaa kaksi ja puoli arkipaivaa kultakin taydelta lomanmaaraytymiskuukaudelta. Jos tyosuhde on lomanmaaraytymisvuoden loppuun mennessa jatkunut yhdenjaksoisesti alle vuod
FIN,Helsinki,12,,tras_completar,30.0,werktage,Tyontekijalla on oikeus saada lomaa kaksi ja puoli arkipaivaa kultakin taydelta lomanmaaraytymiskuukaudelta. Jos tyosuhde on lomanmaaraytymisvuoden loppuun mennessa jatkunut yhdenjaksoisesti alle vuod
FRA,París,0,12,tras_completar,0.0,werktage,Le salarie a droit a un conge de deux jours et demi ouvrables par mois de travail effectif chez le meme employeur. La duree totale du conge exigible ne peut exceder trente jours ouvrables.
FRA,París,12,,tras_completar,30.0,werktage,Le salarie a droit a un conge de deux jours et demi ouvrables par mois de travail effectif chez le meme employeur. La duree totale du conge exigible ne peut exceder trente jours ouvrables.
GBR,Londres,0,12,tras_completar,0.0,semanas,reg 13(1) four weeks' annual leave in each leave year + reg 13A(2) 1.6 weeks additional leave; reg 13A(3) aggregate capped at 28 days
GBR,Londres,12,,tras_completar,5.6,semanas,reg 13(1) four weeks' annual leave in each leave year + reg 13A(2) 1.6 weeks additional leave; reg 13A(3) aggregate capped at 28 days
GRC,Atenas,0,12,tras_completar,20.0,habil,"Το ποσοστο αυτο υπολογιζεται με βαση ετησια αδεια εικοσιτεσσαρων (24) εργασιμων ημερων η αν στην επιχειρηση εφαρμοζεται συστημα πενθημερης εβδομαδιαιας εργασιας, εικοσι (20) εργασιμων ημερων (...) Η α"
GRC,Atenas,12,24,tras_completar,21.0,habil,"Το ποσοστο αυτο υπολογιζεται με βαση ετησια αδεια εικοσιτεσσαρων (24) εργασιμων ημερων η αν στην επιχειρηση εφαρμοζεται συστημα πενθημερης εβδομαδιαιας εργασιας, εικοσι (20) εργασιμων ημερων (...) Η α"
GRC,Atenas,24,,tras_completar,22.0,habil,"Το ποσοστο αυτο υπολογιζεται με βαση ετησια αδεια εικοσιτεσσαρων (24) εργασιμων ημερων η αν στην επιχειρηση εφαρμοζεται συστημα πενθημερης εβδομαδιαιας εργασιας, εικοσι (20) εργασιμων ημερων (...) Η α"
GTM,Ciudad de Guatemala,0,12,tras_completar,0.0,habil,cuya duracion minima es de quince dias habiles
GTM,Ciudad de Guatemala,12,,tras_completar,15.0,habil,cuya duracion minima es de quince dias habiles
HND,Tegucigalpa,0,12,tras_completar,0.0,habil,"El periodo de vacaciones remuneradas, a que tiene derecho todo trabajador despues de cada ano de trabajo continuo al servicio del mismo patrono, tendra como duracion minima la que a continuacion se ex"
HND,Tegucigalpa,12,24,tras_completar,10.0,habil,"El periodo de vacaciones remuneradas, a que tiene derecho todo trabajador despues de cada ano de trabajo continuo al servicio del mismo patrono, tendra como duracion minima la que a continuacion se ex"
HND,Tegucigalpa,24,36,tras_completar,12.0,habil,"El periodo de vacaciones remuneradas, a que tiene derecho todo trabajador despues de cada ano de trabajo continuo al servicio del mismo patrono, tendra como duracion minima la que a continuacion se ex"
HND,Tegucigalpa,36,48,tras_completar,15.0,habil,"El periodo de vacaciones remuneradas, a que tiene derecho todo trabajador despues de cada ano de trabajo continuo al servicio del mismo patrono, tendra como duracion minima la que a continuacion se ex"
HND,Tegucigalpa,48,,tras_completar,20.0,habil,"El periodo de vacaciones remuneradas, a que tiene derecho todo trabajador despues de cada ano de trabajo continuo al servicio del mismo patrono, tendra como duracion minima la que a continuacion se ex"
HUN,Budapest,0,12,tras_completar,0.0,habil,116. § Az alapszabadsag merteke husz munkanap.
HUN,Budapest,12,,tras_completar,20.0,habil,116. § Az alapszabadsag merteke husz munkanap.
IDN,Yakarta,0,12,tras_completar,0.0,habil,cuti tahunan sekurang-kurangnya 12 hari kerja setelah bekerja selama 12 bulan secara terus menerus
IDN,Yakarta,12,,tras_completar,12.0,habil,cuti tahunan sekurang-kurangnya 12 hari kerja setelah bekerja selama 12 bulan secara terus menerus
IRL,Dublín,0,12,tras_completar,0.0,semanas,"an employee shall be entitled to paid annual leave (in this Act referred to as ""annual leave"") equal to (a) 4 working weeks in a leave year in which he or she works at least 1,365 hours (unless it is "
IRL,Dublín,12,,tras_completar,4.0,semanas,"an employee shall be entitled to paid annual leave (in this Act referred to as ""annual leave"") equal to (a) 4 working weeks in a leave year in which he or she works at least 1,365 hours (unless it is "
ISR,Jerusalén,0,12,tras_completar,0.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,0,12,tras_completar,0.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,12,60,tras_completar,16.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,12,48,tras_completar,14.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,48,60,tras_completar,16.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,60,72,tras_completar,18.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,60,72,tras_completar,18.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,72,84,tras_completar,21.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,72,84,tras_completar,21.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,84,96,tras_completar,22.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,84,96,tras_completar,22.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,96,108,tras_completar,23.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,96,108,tras_completar,23.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,108,120,tras_completar,24.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,108,120,tras_completar,24.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,120,132,tras_completar,25.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,120,132,tras_completar,25.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,132,144,tras_completar,26.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,132,144,tras_completar,26.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,144,156,tras_completar,27.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,144,156,tras_completar,27.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ISR,Jerusalén,156,,tras_completar,28.0,calendario,אורך החופשה לכל שנת עבודה אצל מעסיק אחד או במקום עבודה אחד הוא: בעד כל אחת מ-5 השנים הראשונות – 16 יום
ISR,Jerusalén,156,,tras_completar,28.0,calendario,"בעד כל אחת מ־4 השנים הראשונות – 14 יום — por cada uno de los 4 primeros anios, 14 dias. Art. 3(a)(1) en la redaccion dada por חוק חופשה שנתית (תיקון מס' 2), תשכ""ה-1965, ס""ח 461 עמ' 214, 22-jul-1965."
ITA,Roma,0,12,tras_completar,0.0,semanas,"Fermo restando quanto previsto dall'articolo 2109 del codice civile, il prestatore di lavoro ha diritto ad un periodo annuale di ferie retribuite non inferiore a quattro settimane."
ITA,Roma,12,,tras_completar,4.0,semanas,"Fermo restando quanto previsto dall'articolo 2109 del codice civile, il prestatore di lavoro ha diritto ad un periodo annuale di ferie retribuite non inferiore a quattro settimane."
JPN,Tokio,0,6,tras_completar,0.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,6,18,tras_completar,10.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,18,30,tras_completar,11.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,30,42,tras_completar,12.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,42,54,tras_completar,14.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,54,66,tras_completar,16.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,66,78,tras_completar,18.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
JPN,Tokio,78,,tras_completar,20.0,habil,使用者は、その雇入れの日から起算して六箇月間継続勤務し全労働日の八割以上出勤した労働者に対して、継続し、又は分割した十労働日の有給休暇を与えなければならない (労基法39条1項)
KOR,Seúl,0,12,tras_completar,0.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,12,36,tras_completar,15.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,36,60,tras_completar,16.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,60,84,tras_completar,17.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,84,108,tras_completar,18.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,108,132,tras_completar,19.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,132,156,tras_completar,20.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,156,180,tras_completar,21.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,180,204,tras_completar,22.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,204,228,tras_completar,23.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,228,252,tras_completar,24.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
KOR,Seúl,252,,tras_completar,25.0,habil,사용자는 1년간 80퍼센트 이상 출근한 근로자에게 15일의 유급휴가를 주어야 한다
MEX,Ciudad de México,0,12,tras_completar,0.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,0,12,tras_completar,0.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,12,24,tras_completar,12.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,12,24,tras_completar,6.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,24,36,tras_completar,14.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,24,36,tras_completar,8.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,36,48,tras_completar,16.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,36,48,tras_completar,10.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,48,60,tras_completar,18.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,48,60,tras_completar,12.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,60,72,tras_completar,20.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,60,120,tras_completar,14.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,72,,tras_completar,22.0,habil,que en ningun caso podra ser inferior a doce dias laborables
MEX,Ciudad de México,120,180,tras_completar,16.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,180,240,tras_completar,18.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
MEX,Ciudad de México,240,,tras_completar,20.0,habil,"Art. 76 (texto vigente hasta el 31-dic-2022): «Los trabajadores que tengan mas de un anio de servicios disfrutaran de un periodo anual de vacaciones pagadas, que en ningun caso podra ser inferior a se"
NIC,Managua,0,6,tras_completar,0.0,calendario,"Todo trabajador tiene derecho a disfrutar de quince dias de descanso continuo y remunerado en concepto de vacaciones, por cada seis meses de trabajo ininterrumpido al servicio de un mismo empleador (L"
NIC,Managua,6,12,tras_completar,15.0,calendario,"Todo trabajador tiene derecho a disfrutar de quince dias de descanso continuo y remunerado en concepto de vacaciones, por cada seis meses de trabajo ininterrumpido al servicio de un mismo empleador (L"
NIC,Managua,12,,tras_completar,30.0,calendario,"Todo trabajador tiene derecho a disfrutar de quince dias de descanso continuo y remunerado en concepto de vacaciones, por cada seis meses de trabajo ininterrumpido al servicio de un mismo empleador (L"
NLD,Ámsterdam,0,,tras_completar,4.0,semanas,aanspraak op vakantie van ten minste vier maal de overeengekomen arbeidsduur per week (BW 7:634 lid 1)
